PDC	14646143.23
GLD	10300964
ENO	9446192
PGK	8992256
FBA	7834816
ADH1	6387719.396
PFK	4655763
ACO	4463386
GPM	4081891
CDC	4030399.6
PGI	3983814
ALD6	3564500
HXK	2696079
TKI	2501720
PYC	1663316
GND	1535264.28
ATP1	1468587.89
GPP	1466000
ALD2	1133233.26
PDH	1011045
TPI	994728
TAL1	759110
ACS	749251
IDH+IDPH	709376
DAR	373266
KGD1KGD2	368278
RIP1	360070.38
FRDS2	342486
CIT	267282
ZWF	259065
FUM1	193736
MDH1	169338
NDI1	105183.2
SDH12	102286.6
PGL	81813.3
RPE	36414
RPI	31218
COX1	27250.149
SDH34	5282.83
MLS1	914.1
FBP	0
ICL1	0
PCK	0
IDH	0
NDE	0
